,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
10,10,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Average,1965,1965,Hip,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1965,Unfinished,1,384,Typical/Average,Typical/Average,Paved,No Fence,Feb,2008,Warranty Deed - Conventional,Normal Sale,129500,2.0,0,43,11.5625
11,11,2-STORY 1946 & NEWER,Residential Low-Density,85,11924,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Excellent,Average,2005,2006,Hip,Standard (Composite) Shingle,Wood ShinglesWd Shng,Stone,286,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2324,4,1,Excellent,11,Typical Functionality,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005,Finished,3,736,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Home just constructed and sold,Home was not completed when last assessed,345000,4.0,168,1,28.933243877893325
12,12,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Above Average,1962,1962,Hip,Standard (Composite) Shingle,Hard BoardPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,2,1,Average/Typical,4,Typical Functionality,0,No Fireplace,Detached from home,1962,Unfinished,1,352,Typical/Average,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,144000,2.0,316,46,11.104256631708822
13,13,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,306,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Home just constructed and sold,Home was not completed when last assessed,279500,2.0,193,1,26.239203905369884
14,14,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Average,1960,1960,Hip,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,212,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1253,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,2,1,Average/Typical,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1960,Rough Finished,1,352,Typical/Average,Typical/Average,Paved,Good Wood,May,2008,Warranty Deed - Conventional,Normal Sale,157000,2.5,389,48,14.377289377289378
15,15,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium,51,6120,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,NormalNormal,Good,Very Good,1929,2001,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),854,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1991,Unfinished,2,576,Typical/Average,Typical/Average,Paved,Good Privacy,Jul,2007,Warranty Deed - Conventional,Normal Sale,132000,1.0,160,78,21.568627450980394
16,16,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,North Ames,NormalNormal,Above Average,Good,1970,1970,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,Brick Face,180,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,2,1,Average/Typical,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970,Finished,2,480,Typical/Average,Typical/Average,Paved,No Fence,Mar,2010,Warranty Deed - Conventional,Normal Sale,149000,2.0,0,40,13.255048483231029
17,17,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Below Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No BasementNo Basement,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,2,2,Average/Typical,6,Typical Functionality,0,No Fireplace,Car Port,1967,Unfinished,2,516,Typical/Average,Typical/Average,Paved,No Fence,Oct,2006,Warranty Deed - Conventional,Normal Sale,90000,2.0,0,39,8.340283569641368
18,18,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Adjacent to East-West RailroadNormal,Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,3,1,Good,6,Typical Functionality,0,No Fireplace,Detached from home,2004,Unfinished,2,576,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,159000,2.5,102,4,11.610076670317634
19,19,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1958,1965,Hip,Standard (Composite) Shingle,Brick FacePlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low QualityUnfinished,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,3,1,Average/Typical,6,Minor Deductions 1,0,No Fireplace,Attached to the home,1958,Unfinished,1,294,Typical/Average,Typical/Average,Paved,Minimum Privacy,May,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",139000,1.0,0,51,18.386243386243386
20,20,2-STORY 1946 & NEWER,Residential Low-Density,101,14215,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,380,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2376,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005,Rough Finished,3,853,Typical/Average,Typical/Average,Paved,No Fence,Nov,2006,Home just constructed and sold,Home was not completed when last assessed,325300,3.5,394,1,22.884277172001408
21,21,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium,57,7449,Paved,Gravel,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,NormalNormal,Good,Good,1930,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1930,Unfinished,1,280,Typical/Average,Typical/Average,Dirt/Gravel,Good Privacy,Jun,2007,Warranty Deed - Conventional,Normal Sale,139400,1.0,205,77,18.71392133172238
22,22,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Very Good,Average,2002,2002,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,281,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2002,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,230000,2.0,330,6,23.609115171422705
23,23,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium,44,4224,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,NormalNormal,Average,Good,1976,1976,Gable,Standard (Composite) Shingle,Cement BoardCmentBd,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Unfinished,2,572,Typical/Average,Typical/Average,Paved,No Fence,Jun,2007,Warranty Deed - Conventional,Normal Sale,129900,2.0,210,31,30.75284090909091
24,24,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Very Good,1968,2001,Gable,Standard (Composite) Shingle,PlywoodPlywood,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Rec RoomAverage Living Quarters,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968,Unfinished,1,270,Typical/Average,Typical/Average,Paved,Minimum Privacy,May,2010,Warranty Deed - Conventional,Normal Sale,154000,2.0,496,42,18.67572156196944
25,25,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,640,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,890,Typical/Average,Typical/Average,Paved,No Fence,Jul,2009,Warranty Deed - Conventional,Normal Sale,256300,2.0,56,2,18.011243851018975
26,26,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Average,Good,1951,2000,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living QuartersAverage Rec Room,900,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,3,1,Good,5,Typical Functionality,0,No Fireplace,Detached from home,2005,Unfinished,2,576,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,134800,1.5,254,59,18.72222222222222
27,27,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2007,2008,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,200,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008,Rough Finished,3,772,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,306000,3.0,50,3,26.659696811291166
28,28,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1957,1997,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living QuartersUnfinished,1484,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,2,1,Average/Typical,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1957,Rough Finished,1,319,Typical/Average,Typical/Average,Paved,No Fence,Dec,2006,Warranty Deed - Conventional,Normal Sale,207500,2.0,546,49,12.713681759696097
31,31,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer,NormalNormal,Average,Above Average,1966,2006,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,1966,Unfinished,1,271,Typical/Average,Typical/Average,Paved,Minimum Privacy,Jun,2008,Warranty Deed - Conventional,Normal Sale,149350,1.5,65,42,17.480102996254683
32,32,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,NormalNormal,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,1234,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2007,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,No Fence,Jan,2008,Warranty Deed - Conventional,Normal Sale,179900,2.0,30,1,16.282016472078922
33,33,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Brick FaceBrick Face,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1398,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1700,4,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1959,Rough Finished,2,447,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,165500,2.0,38,51,15.684230477634571
34,34,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Excellent,Average,2005,2005,Hip,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,246,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1561,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1561,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Finished,2,556,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Warranty Deed - Conventional,Normal Sale,277500,3.0,250,2,37.94612334199371
